Sample Number (10000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),RPM (rpm),TPS (%),Fuel Open Time (ms),Ignition Angle (deg),Lambda (Lambda),Air Temp (deg),Coolant Temp (deg),Lat (Deg),Lng (Deg),Speed (mph),Oil Pressure (psi)
4352,1684521425908,11873.0,24.9,19.800001,37.8,0.816,80.8,226.6,0.0,0.0,0.0,-17.0625
4353,1684521425933,11873.0,24.9,19.800001,37.8,0.816,80.8,226.6,0.0,0.0,0.0,-17.0625
4354,1684521425965,11873.0,24.9,19.800001,37.8,0.816,80.8,226.6,0.0,0.0,0.0,-17.0625
4355,1684521425995,11873.0,24.9,19.800001,37.8,0.816,80.8,226.6,0.0,0.0,0.0,-17.0625
4356,1684521426024,11873.0,24.9,19.800001,37.8,0.819,80.8,226.6,0.0,0.0,0.0,-17.0625
4357,1684521426045,11873.0,24.9,19.800001,37.8,0.819,80.8,226.6,0.0,0.0,0.0,-17.0625
4358,1684521426076,11873.0,24.9,19.800001,37.8,0.819,80.8,226.6,0.0,0.0,0.0,-17.0625
4359,1684521426109,11873.0,24.9,19.800001,37.8,0.819,80.8,226.6,0.0,0.0,0.0,-17.0625
4360,1684521426141,11879.0,25.1,19.800001,37.8,0.819,80.8,226.6,0.0,0.0,0.0,-17.0625
4361,1684521426170,11879.0,25.1,19.800001,37.8,0.819,80.8,226.6,0.0,0.0,0.0,-17.0625
4362,1684521426186,11879.0,25.1,19.800001,37.8,0.819,80.8,226.6,0.0,0.0,0.0,-17.0625
4363,1684521426217,11879.0,25.1,19.800001,37.8,0.819,80.8,226.6,0.0,0.0,0.0,-17.0625
4364,1684521426254,11879.0,25.1,19.800001,37.8,0.819,80.8,226.6,0.0,0.0,0.0,-17.0625
4365,1684521426280,11879.0,25.1,19.800001,37.8,0.819,80.8,226.6,0.0,0.0,0.0,-17.0625
4366,1684521426311,11879.0,25.1,19.800001,37.8,0.829,80.8,226.6,0.0,0.0,0.0,-17.0625
4367,1684521426343,11879.0,25.1,19.800001,37.8,0.829,80.8,226.6,0.0,0.0,0.0,-17.0625
4368,1684521426374,11879.0,25.1,19.800001,37.8,0.829,80.8,226.6,0.0,0.0,0.0,-17.0625
4369,1684521426391,11879.0,25.1,19.800001,37.8,0.829,80.8,226.6,0.0,0.0,0.0,-17.0625
4370,1684521426423,11848.0,25.0,19.6,37.8,0.829,80.8,226.6,0.0,0.0,0.0,-17.0625
4371,1684521426463,11848.0,25.0,19.6,37.8,0.829,80.8,226.6,0.0,0.0,0.0,-17.0625
4372,1684521426492,11848.0,25.0,19.6,37.8,0.815,80.8,226.6,0.0,0.0,0.0,-16.949999
4373,1684521426516,11829.0,25.0,19.7,37.8,0.815,80.8,226.6,0.0,0.0,0.0,-16.949999
4374,1684521426547,11829.0,25.0,19.7,37.8,0.819,80.8,226.6,0.0,0.0,0.0,-16.949999
4375,1684521426579,11817.0,24.9,19.5,37.8,0.82,80.8,226.6,0.0,0.0,0.0,-16.949999
4376,1684521426608,11817.0,24.9,19.5,37.8,0.82,80.8,226.6,0.0,0.0,0.0,-16.949999
4377,1684521426638,11889.0,25.0,19.7,37.9,0.836,80.8,226.6,0.0,0.0,0.0,-16.05
4378,1684521426667,11889.0,25.0,19.7,37.9,0.835,80.8,226.6,0.0,0.0,0.0,-16.05
4379,1684521426694,11889.0,25.0,19.7,37.9,0.835,80.8,226.6,0.0,0.0,0.0,-16.05
4380,1684521426723,11889.0,25.0,19.7,37.9,0.835,80.8,226.6,0.0,0.0,0.0,-16.05
4381,1684521426754,11952.0,24.800001,19.6,37.9,0.835,80.8,226.6,0.0,0.0,0.0,-16.05
4382,1684521426781,11952.0,24.800001,19.6,37.9,0.835,80.8,226.6,0.0,0.0,0.0,-16.05
4383,1684521426802,11952.0,24.800001,19.6,37.9,0.834,80.8,226.6,0.0,0.0,0.0,-16.05
4384,1684521426833,11952.0,24.800001,19.6,37.9,0.834,80.8,226.6,0.0,0.0,0.0,-16.05
4385,1684521426864,11952.0,24.800001,19.6,37.9,0.834,80.8,226.6,0.0,0.0,0.0,-16.05
4386,1684521426895,11952.0,24.800001,19.6,37.9,0.834,80.8,226.6,0.0,0.0,0.0,-16.05
4387,1684521426926,11952.0,24.800001,19.6,37.9,0.834,80.8,226.6,0.0,0.0,0.0,-16.05
4388,1684521426958,11952.0,24.800001,19.6,37.9,0.834,80.8,226.6,0.0,0.0,0.0,-16.05
4389,1684521426973,11952.0,24.800001,19.6,37.9,0.834,80.8,226.6,0.0,0.0,0.0,-16.05
4390,1684521427015,11952.0,24.800001,19.6,37.9,0.834,80.8,226.6,0.0,0.0,0.0,-16.05
4391,1684521427036,12061.0,25.0,20.0,38.0,0.85,80.8,226.6,0.0,0.0,0.0,-16.875
4392,1684521427067,12113.0,25.0,20.2,38.0,0.85,82.5,232.0,0.0,0.0,0.0,-16.875
4393,1684521427098,12113.0,25.0,20.2,38.0,0.85,82.5,232.0,0.0,0.0,0.0,-16.949999
4394,1684521427130,12175.0,25.0,20.4,38.100002,0.825,82.5,232.0,0.0,0.0,0.0,-16.949999
4395,1684521427161,12175.0,25.0,20.4,38.100002,0.825,82.5,232.0,0.0,0.0,0.0,-16.949999
4396,1684521427192,12175.0,25.0,20.4,38.100002,0.825,82.5,232.0,0.0,0.0,0.0,-16.949999
4397,1684521427208,12175.0,25.0,20.4,38.100002,0.825,82.5,232.0,0.0,0.0,0.0,-16.949999
4398,1684521427239,12168.0,25.300001,20.5,38.100002,0.825,82.5,232.0,0.0,0.0,0.0,-16.949999
4399,1684521427270,12168.0,25.300001,20.5,38.100002,0.83,82.5,232.0,0.0,0.0,0.0,-16.949999
4400,1684521427301,12168.0,25.300001,20.5,38.100002,0.83,82.5,232.0,0.0,0.0,0.0,-16.949999
4401,1684521427333,12168.0,25.300001,20.5,38.100002,0.83,82.5,232.0,0.0,0.0,0.0,-16.949999
4402,1684521427364,12168.0,25.300001,20.5,38.100002,0.823,82.5,232.0,0.0,0.0,0.0,-14.85
4403,1684521427395,12168.0,25.300001,20.5,38.100002,0.823,82.5,232.0,0.0,0.0,0.0,-14.85
4404,1684521427411,12168.0,25.300001,20.5,38.100002,0.823,82.5,232.0,0.0,0.0,0.0,-14.85
4405,1684521427452,12218.0,25.0,20.4,38.100002,0.824,82.5,232.0,0.0,0.0,0.0,-14.85
4406,1684521427473,12218.0,25.0,20.4,38.100002,0.824,82.5,232.0,0.0,0.0,0.0,-14.85
4407,1684521427505,12218.0,25.0,20.4,38.100002,0.824,82.5,232.0,0.0,0.0,0.0,-14.85
4408,1684521427536,12218.0,25.0,20.4,38.100002,0.824,82.5,232.0,0.0,0.0,0.0,-14.85
4409,1684521427567,12248.0,25.1,20.300001,38.100002,0.82,82.5,232.0,0.0,0.0,0.0,-16.4625
4410,1684521427598,12248.0,25.1,20.300001,38.100002,0.82,82.5,232.0,0.0,0.0,0.0,-16.4625
4411,1684521427624,12254.0,25.1,20.4,38.2,0.82,82.5,232.0,0.0,0.0,0.0,-16.4625
4412,1684521427657,12254.0,25.1,20.4,38.2,0.816,82.5,232.0,0.0,0.0,0.0,-16.4625
4413,1684521427681,12234.0,25.2,21.0,38.100002,0.802,82.5,232.0,0.0,0.0,0.0,-16.1625
4414,1684521427712,12234.0,25.2,21.0,38.100002,0.802,82.5,232.0,0.0,0.0,0.0,-16.1625
4415,1684521427744,12198.0,25.2,20.6,38.100002,0.802,82.5,232.0,0.0,0.0,0.0,-16.1625
4416,1684521427774,12198.0,25.2,20.6,38.100002,0.802,82.5,232.0,0.0,0.0,0.0,-16.1625
4417,1684521427801,12198.0,25.2,20.6,38.100002,0.802,82.5,232.0,0.0,0.0,0.0,-16.1625
4418,1684521427826,12198.0,25.2,20.6,38.100002,0.802,82.5,232.0,0.0,0.0,0.0,-16.1625
4419,1684521427862,12198.0,25.2,20.6,38.100002,0.802,82.5,232.0,0.0,0.0,0.0,-16.1625
4420,1684521427892,12198.0,25.2,20.6,38.100002,0.802,82.5,232.0,0.0,0.0,0.0,-16.1625
4421,1684521427920,12198.0,25.2,20.6,38.100002,0.802,82.5,232.0,0.0,0.0,0.0,-16.1625
4422,1684521427948,12198.0,25.2,20.6,38.100002,0.802,82.5,232.0,0.0,0.0,0.0,-16.1625
4423,1684521427971,12113.0,25.300001,20.0,38.0,0.815,82.5,232.0,0.0,0.0,0.0,-16.1625
4424,1684521428009,12113.0,25.300001,20.0,38.0,0.815,82.5,232.0,0.0,0.0,0.0,-16.1625
4425,1684521428030,12113.0,25.300001,20.0,38.0,0.815,82.5,232.0,0.0,0.0,0.0,-16.1625
4426,1684521428061,12113.0,25.300001,20.0,38.0,0.815,82.5,232.0,0.0,0.0,0.0,-17.0625
4427,1684521428093,12113.0,25.300001,20.0,38.0,0.815,82.5,232.0,0.0,0.0,0.0,-17.0625
4428,1684521428124,12113.0,25.300001,20.0,38.0,0.815,82.5,232.0,0.0,0.0,0.0,-17.0625
4429,1684521428142,12116.0,25.1,20.5,38.0,0.816,82.5,232.0,0.0,0.0,0.0,-17.0625
4430,1684521428173,12116.0,25.1,20.5,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.0625
4431,1684521428205,12116.0,25.1,20.5,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.0625
4432,1684521428236,12087.0,25.300001,20.7,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.0625
4433,1684521428267,12087.0,25.300001,20.7,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.0625
4434,1684521428298,12087.0,25.300001,20.7,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.0625
4435,1684521428317,12087.0,25.300001,20.7,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.0625
4436,1684521428349,12087.0,25.300001,20.7,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.0625
4437,1684521428380,12087.0,25.300001,20.7,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.0625
4438,1684521428411,12087.0,25.300001,20.7,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.0625
4439,1684521428443,12087.0,25.300001,20.7,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.0625
4440,1684521428474,12087.0,25.300001,20.7,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.0625
4441,1684521428492,12087.0,25.300001,20.7,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.0625
4442,1684521428523,12087.0,25.300001,20.7,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.0625
4443,1684521428555,12087.0,25.300001,20.7,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.0625
4444,1684521428586,12087.0,25.300001,20.7,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.0625
4445,1684521428617,12087.0,25.300001,20.7,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.0625
4446,1684521428649,12087.0,25.300001,20.7,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.0625
4447,1684521428676,12087.0,25.300001,20.7,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.0625
4448,1684521428708,12087.0,25.300001,20.7,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.0625
4449,1684521428731,12087.0,25.300001,20.7,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.0625
4450,1684521428763,12087.0,25.300001,20.7,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.0625
4451,1684521428796,12087.0,25.300001,20.7,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.0625
4452,1684521428824,12087.0,25.300001,20.7,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.0625
4453,1684521428842,12087.0,25.300001,20.7,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.0625
4454,1684521428881,12087.0,25.300001,20.7,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.0625
4455,1684521428908,12087.0,25.300001,20.7,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.0625
4456,1684521428937,12087.0,25.300001,20.7,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.0625
4457,1684521428970,12087.0,25.300001,20.7,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.0625
4458,1684521428991,12087.0,25.300001,20.7,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.0625
4459,1684521429018,12087.0,25.300001,20.7,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.0625
4460,1684521429049,12087.0,25.300001,20.7,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.0625
4461,1684521429080,12087.0,25.300001,20.7,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.0625
4462,1684521429112,12087.0,25.300001,20.7,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.0625
4463,1684521429144,12087.0,25.300001,20.7,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.0625
4464,1684521429174,12087.0,25.300001,20.7,38.0,0.819,82.5,232.0,0.0,0.0,0.0,-17.0625
4465,1684521429192,12074.0,25.1,19.5,38.0,0.815,82.5,232.0,0.0,0.0,0.0,-16.949999
4466,1684521429234,12074.0,25.1,19.5,38.0,0.815,82.5,232.0,0.0,0.0,0.0,-16.949999
4467,1684521429255,12074.0,25.1,19.5,38.0,0.815,82.5,232.0,0.0,0.0,0.0,-16.949999
4468,1684521429291,12074.0,25.1,19.5,38.0,0.815,82.5,232.0,0.0,0.0,0.0,-16.949999
4469,1684521429318,12074.0,25.1,19.5,38.0,0.815,82.5,232.0,0.0,0.0,0.0,-16.949999
4470,1684521429345,12074.0,25.1,19.5,38.0,0.815,82.5,232.0,0.0,0.0,0.0,-16.949999
4471,1684521429374,12074.0,25.1,19.5,38.0,0.815,82.5,232.0,0.0,0.0,0.0,-16.949999
4472,1684521429407,12074.0,25.1,19.5,38.0,0.815,82.5,232.0,0.0,0.0,0.0,-16.949999
4473,1684521429431,12074.0,25.1,19.5,38.0,0.815,82.5,232.0,0.0,0.0,0.0,-16.949999
4474,1684521429465,12074.0,25.1,19.5,38.0,0.815,82.5,232.0,0.0,0.0,0.0,-16.949999
4475,1684521429495,12074.0,25.1,19.5,38.0,0.815,82.5,232.0,0.0,0.0,0.0,-16.949999
4476,1684521429524,12074.0,25.1,19.5,38.0,0.815,82.5,232.0,0.0,0.0,0.0,-16.949999
4477,1684521429542,12074.0,25.1,19.5,38.0,0.815,82.5,232.0,0.0,0.0,0.0,-16.949999
4478,1684521429581,12074.0,25.1,19.5,38.0,0.815,82.5,232.0,0.0,0.0,0.0,-16.949999
4479,1684521429612,12106.0,24.800001,19.6,38.0,0.825,82.5,232.0,0.0,0.0,0.0,-16.949999
4480,1684521429637,12106.0,24.800001,19.6,38.0,0.825,82.5,232.0,0.0,0.0,0.0,-16.949999
4481,1684521429668,12106.0,24.800001,19.6,38.0,0.825,82.5,232.0,0.0,0.0,0.0,-16.949999
4482,1684521429700,12106.0,24.800001,19.6,38.0,0.825,82.5,232.0,0.0,0.0,0.0,-16.949999
4483,1684521429730,12106.0,24.800001,19.6,38.0,0.825,82.5,232.0,0.0,0.0,0.0,-16.949999
